 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  0.000E+00  0.00000E+00  5.88005E-15  2.09981E+02  0.00000E+00
  1.800E+01  2.44717E-02  6.90900E-16  2.46725E+01  1.49327E-02
  1.825E+01  2.51504E-02  6.68336E-16  2.38667E+01  1.55597E-02
  1.850E+01  2.58382E-02  6.46481E-16  2.30863E+01  1.62059E-02
  1.875E+01  2.65349E-02  6.25319E-16  2.23305E+01  1.68719E-02
  1.900E+01  2.72407E-02  6.04832E-16  2.15989E+01  1.75586E-02
  1.925E+01  2.79555E-02  5.85004E-16  2.08909E+01  1.82658E-02
  1.950E+01  2.86793E-02  5.65819E-16  2.02058E+01  1.89938E-02
  1.975E+01  2.94120E-02  5.47259E-16  1.95430E+01  1.97435E-02
  2.000E+01  3.01537E-02  5.29309E-16  1.89020E+01  2.05150E-02
  2.025E+01  3.09043E-02  5.11953E-16  1.82822E+01  2.13082E-02
  2.050E+01  3.16639E-02  4.95173E-16  1.76830E+01  2.21241E-02
  2.075E+01  3.24324E-02  4.78955E-16  1.71038E+01  2.29628E-02
  2.100E+01  3.32098E-02  4.63284E-16  1.65442E+01  2.38241E-02
  2.125E+01  3.39961E-02  4.48142E-16  1.60034E+01  2.47088E-02
  2.150E+01  3.47912E-02  4.33515E-16  1.54811E+01  2.56172E-02
  2.175E+01  3.55952E-02  4.19389E-16  1.49766E+01  2.65490E-02
  2.200E+01  3.64081E-02  4.05747E-16  1.44895E+01  2.75047E-02
  2.225E+01  3.72297E-02  3.92576E-16  1.40191E+01  2.84849E-02
  2.250E+01  3.80602E-02  3.79861E-16  1.35651E+01  2.94891E-02
  2.275E+01  3.88995E-02  3.67589E-16  1.31268E+01  3.05173E-02
  2.300E+01  3.97476E-02  3.55745E-16  1.27039E+01  3.15706E-02
  2.325E+01  4.06044E-02  3.44315E-16  1.22957E+01  3.26483E-02
  2.350E+01  4.14700E-02  3.33288E-16  1.19019E+01  3.37501E-02
  2.375E+01  4.23443E-02  3.22649E-16  1.15220E+01  3.48770E-02
  2.400E+01  4.32273E-02  3.12386E-16  1.11555E+01  3.60285E-02
  2.425E+01  4.41190E-02  3.02487E-16  1.08020E+01  3.72040E-02
  2.450E+01  4.50194E-02  2.92939E-16  1.04610E+01  3.84043E-02
  2.475E+01  4.59284E-02  2.83730E-16  1.01322E+01  3.96291E-02
  2.500E+01  4.68461E-02  2.74850E-16  9.81507E+00  4.08775E-02
  2.550E+01  4.87074E-02  2.58028E-16  9.21435E+00  4.34464E-02
  2.600E+01  5.06030E-02  2.42387E-16  8.65580E+00  4.61081E-02
  2.650E+01  5.25328E-02  2.27843E-16  8.13641E+00  4.88615E-02
  2.700E+01  5.44967E-02  2.14320E-16  7.65349E+00  5.17018E-02
  2.750E+01  5.64946E-02  2.01742E-16  7.20434E+00  5.46256E-02
  2.800E+01  5.85262E-02  1.90043E-16  6.78654E+00  5.76292E-02
  2.850E+01  6.05914E-02  1.79156E-16  6.39777E+00  6.07057E-02
  2.900E+01  6.26901E-02  1.69020E-16  6.03583E+00  6.38515E-02
  2.950E+01  6.48222E-02  1.59581E-16  5.69875E+00  6.70593E-02
  3.000E+01  6.69873E-02  1.50784E-16  5.38458E+00  7.03224E-02
  3.050E+01  6.91854E-02  1.42579E-16  5.09160E+00  7.36353E-02
  3.100E+01  7.14163E-02  1.34922E-16  4.81817E+00  7.69887E-02
  3.150E+01  7.36799E-02  1.27769E-16  4.56272E+00  8.03765E-02
  3.200E+01  7.59760E-02  1.21082E-16  4.32392E+00  8.37903E-02
  3.250E+01  7.83043E-02  1.14822E-16  4.10038E+00  8.72212E-02
  3.300E+01  8.06647E-02  1.08958E-16  3.89096E+00  9.06623E-02
  3.350E+01  8.30571E-02  1.03457E-16  3.69453E+00  9.41036E-02
  3.400E+01  8.54812E-02  9.82909E-17  3.51003E+00  9.75371E-02
  3.450E+01  8.79369E-02  9.34346E-17  3.33661E+00  1.00954E-01
  3.500E+01  9.04240E-02  8.88617E-17  3.17331E+00  1.04344E-01
  3.550E+01  9.29422E-02  8.45522E-17  3.01941E+00  1.07699E-01
  3.600E+01  9.54915E-02  8.04854E-17  2.87418E+00  1.11009E-01
  3.650E+01  9.80716E-02  7.66418E-17  2.73693E+00  1.14262E-01
  3.700E+01  1.00682E-01  7.30069E-17  2.60712E+00  1.17450E-01
  3.750E+01  1.03323E-01  6.95632E-17  2.48415E+00  1.20561E-01
  3.800E+01  1.05995E-01  6.62984E-17  2.36756E+00  1.23582E-01
  3.850E+01  1.08696E-01  6.31998E-17  2.25691E+00  1.26501E-01
  3.900E+01  1.11427E-01  6.02551E-17  2.15175E+00  1.29306E-01
  3.950E+01  1.14188E-01  5.74558E-17  2.05178E+00  1.31980E-01
  4.000E+01  1.16978E-01  5.47911E-17  1.95663E+00  1.34509E-01
  4.050E+01  1.19797E-01  5.22539E-17  1.86602E+00  1.36874E-01
  4.100E+01  1.22645E-01  4.98364E-17  1.77969E+00  1.39058E-01
  4.150E+01  1.25522E-01  4.75317E-17  1.69739E+00  1.41039E-01
  4.200E+01  1.28428E-01  4.53344E-17  1.61892E+00  1.42795E-01
  4.250E+01  1.31361E-01  4.32388E-17  1.54408E+00  1.44302E-01
  4.300E+01  1.34323E-01  4.12402E-17  1.47272E+00  1.45533E-01
